pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta
cb,1,1,2264996,,2.32,4.071,1.029,7.242,960,250,110
cb,1,1,2236164,,2.32,4.071,1.029,7.242,960,250,110
cb,1,1,2275828,,2.32,4.071,1.029,7.242,960,250,110
cb,1,2,2706264,,2.19,3.822,0.936,7.515,960,250,110
cb,1,2,2744892,,2.19,3.822,0.936,7.515,960,250,110
cb,1,2,2678340,,2.19,3.822,0.936,7.515,960,250,110
cb,1,3,2121188,,2.14,4.071,1.108,6.976,960,250,110
cb,1,3,2152384,,2.14,4.071,1.108,6.976,960,250,110
cb,1,3,2168296,,2.14,4.071,1.108,6.976,960,55,84
cm,1,1,4326924,,0.7,3.621,1.002,6.761,1170,38,66
cm,1,1,4335888,,0.7,3.621,1.002,6.761,1170,38,66
cm,1,1,4373372,,0.7,3.621,1.002,6.761,1170,38,66
cm,1,2,4406740,,0.56,3.65,0.987,6.871,1170,38,66
cm,1,2,4320800,,0.56,3.65,0.987,6.871,1170,38,66
cm,1,2,4571604,,0.56,3.65,0.987,6.871,1170,38,66
cm,1,3,3629012,,0.91,3.709,0.918,6.859,1170,38,66
cm,1,3,3617328,,0.91,3.709,0.918,6.859,1170,38,66
cm,1,3,3640764,,0.91,3.709,0.918,6.859,1170,38,66
ca,1,1,2209056,,2.51,4.24,1.05,7.502,1350,477,67
ca,1,1,2185904,,2.51,4.24,1.05,7.502,1350,477,67
ca,1,1,2184260,,2.51,4.24,1.05,7.502,1350,477,67
ca,1,2,3840208,,1.08,4.001,1.122,7.493,1350,477,67
ca,1,2,3871796,,1.08,4.001,1.122,7.493,1350,477,67
ca,1,2,3894664,,1.08,4.001,1.122,7.493,1350,477,67
ca,1,3,2496596,,2.46,4.092,0.877,7.516,1350,477,67
ca,1,3,2557196,,2.46,4.092,0.877,7.516,1350,477,67
ca,1,3,2469232,,2.46,4.092,0.877,7.516,1350,477,67
cabal,1,1,2669832,,2.08,4.08,1,8.4,,1200,65
cabal,1,1,2713284,,2.08,4.08,1,8.4,,1200,65
cabal,1,1,2660596,,2.08,4.08,1,8.4,,1200,65
cabal,1,2,2439672,,1.52,4.15,0.97,8.27,,1200,65
cabal,1,2,2430760,,1.52,4.15,0.97,8.27,,1200,65
cabal,1,2,2439320,,1.52,4.15,0.97,8.27,,1200,65
cabal,1,3,2439760,,,4.03,1,8.49,,1200,65
cabal,1,3,2400376,,,4.03,1,8.49,,1200,65
cabal,1,3,2410936,,,4.03,1,8.49,,1200,65
candonga,1,1,3189688,,0.82,3.473,1.068,7.633,,35,120
candonga,1,1,3092772,,0.82,3.473,1.068,7.633,,35,120
candonga,1,1,3128504,,0.82,3.473,1.068,7.633,,35,120
candonga,1,2,3859960,,1.01,3.13,0.901,7.666,,35,120
candonga,1,2,4001520,,1.01,3.13,0.901,7.666,,35,120
candonga,1,2,4053072,,1.01,3.13,0.901,7.666,,35,120
candonga,1,3,2829724,,2.18,3.051,0.985,7.582,,35,120
candonga,1,3,2705064,,2.18,3.051,0.985,7.582,,35,120
candonga,1,3,2772508,,2.18,3.051,0.985,7.582,,35,120
cb,2,1,2137664,,2.73,4.243,0.936,6.419,960,55,84
cb,2,1,2135636,,2.73,4.243,0.936,6.419,960,55,84
cb,2,1,2150616,,2.73,4.243,0.936,6.419,960,55,84
cb,2,2,2770340,,0.92,4.093,1.144,6.528,960,55,84
cb,2,2,2757864,,0.92,4.093,1.144,6.528,960,55,84
cb,2,2,2717100,,0.92,4.093,1.144,6.528,960,55,84
cb,2,3,3063228,,1.52,4.49,0.977,6.831,960,55,84
cb,2,3,3081296,,1.52,4.49,0.977,6.831,960,55,84
cb,2,3,3045636,,1.52,4.49,0.977,6.831,960,55,84
cm,2,1,2179892,,2.1,4.407,0.887,6.117,1170,180,104
cm,2,1,2147160,,2.1,4.407,0.887,6.117,1170,180,104
cm,2,1,2160968,,2.1,4.407,0.887,6.117,1170,180,104
cm,2,2,2318616,,2.12,4.355,1.046,6.402,1170,180,104
cm,2,2,2351184,,2.12,4.355,1.046,6.402,1170,180,104
cm,2,2,2350584,,2.12,4.355,1.046,6.402,1170,180,104
cm,2,3,2327096,,1.54,4.188,0.993,6.613,1170,180,104
cm,2,3,2324176,,1.54,4.188,0.993,6.613,1170,180,104
cm,2,3,2341200,,1.54,4.188,0.993,6.613,1170,180,104
ca,2,1,4609228,,0.71,3.919,1.037,7.134,1350,1925,86
ca,2,1,4438760,,0.71,3.919,1.037,7.134,1350,1925,86
ca,2,1,4406496,,0.71,3.919,1.037,7.134,1350,1925,86
ca,2,2,3309456,,1.85,4.089,1.051,7.179,1350,1925,86
ca,2,2,3422504,,1.85,4.089,1.051,7.179,1350,1925,86
ca,2,2,3302120,,1.85,4.089,1.051,7.179,1350,1925,86
ca,2,3,4241210,,0.96,4.024,1.049,6.488,1350,1925,86
ca,2,3,4087652,,0.96,4.024,1.049,6.488,1350,1925,86
ca,2,3,4110244,,0.96,4.024,1.049,6.488,1350,1925,86
cabal,2,1,3422472,,2.05,4.03,1.08,8.89,,1170,86
cabal,2,1,3402336,,2.05,4.03,1.08,8.89,,1170,86
cabal,2,1,3430676,,2.05,4.03,1.08,8.89,,1170,86
cabal,2,2,3036392,,2.31,4.7,0.86,9.22,,1170,86
cabal,2,2,3005784,,2.31,4.7,0.86,9.22,,1170,86
cabal,2,2,2983636,,2.31,4.7,0.86,9.22,,1170,86
cabal,2,3,3072272,,1.95,4.33,0.96,9.13,,1170,86
cabal,2,3,3071212,,1.95,4.33,0.96,9.13,,1170,86
cabal,2,3,3058960,,1.95,4.33,0.96,9.13,,1170,86
candonga,2,1,5906064,,0.72,3.129,0.704,7.883,,25,115
candonga,2,1,5950360,,0.72,3.129,0.704,7.883,,25,115
candonga,2,1,5549412,,0.72,3.129,0.704,7.883,,25,115
candonga,2,2,3165832,,1.09,3.316,0.862,6.482,,25,115
candonga,2,2,3112188,,1.09,3.316,0.862,6.482,,25,115
candonga,2,2,3150988,,1.09,3.316,0.862,6.482,,25,115
candonga,2,3,5473044,,0.6,3.122,0.902,7.541,,25,115
candonga,2,3,5475076,,0.6,3.122,0.902,7.541,,25,115
candonga,2,3,5667408,,0.6,3.122,0.902,7.541,,25,115
cb,3,1,2296052,,1.96,3.94,1.185,6.925,960,25,81
cb,3,1,2292712,,1.96,3.94,1.185,6.925,960,25,81
cb,3,1,2280708,,1.96,3.94,1.185,6.925,960,25,81
cb,3,2,2124088,,1.91,4.11,1.238,6.725,960,25,81
cb,3,2,2093864,,1.91,4.11,1.238,6.725,960,25,81
cb,3,2,2053328,,1.91,4.11,1.238,6.725,960,25,81
cb,3,3,2150596,,2.31,3.966,1.005,6.749,960,25,81
cb,3,3,2163896,,2.31,3.966,1.005,6.749,960,25,81
cb,3,3,2148064,,2.31,3.966,1.005,6.749,960,25,81
cm,3,1,2116408,,1.93,4.459,1.053,6.155,1170,60,81
cm,3,1,2115968,,1.93,4.459,1.053,6.155,1170,60,81
cm,3,1,2096028,,1.93,4.459,1.053,6.155,1170,60,81
cm,3,2,2373168,,1.86,4.167,0.916,6.995,1170,60,81
cm,3,2,2679336,,1.86,4.167,0.916,6.995,1170,60,81
cm,3,2,2654916,,1.86,4.167,0.916,6.995,1170,60,81
cm,3,3,2194856,,2.04,4.297,0.95,6.33,1170,60,81
cm,3,3,2233856,,2.04,4.297,0.95,6.33,1170,60,81
cm,3,3,2216760,,2.04,4.297,0.95,6.33,1170,60,81
ca,3,1,2255720,,1.93,3.258,1.084,6.833,1350,54,53
ca,3,1,2259360,,1.93,3.258,1.084,6.833,1350,54,53
ca,3,1,2257444,,1.93,3.258,1.084,6.833,1350,54,53
ca,3,2,2796100,,1.52,3.512,0.89,7.016,1350,54,53
ca,3,2,2861324,,1.52,3.512,0.89,7.016,1350,54,53
ca,3,2,2819764,,1.52,3.512,0.89,7.016,1350,54,53
ca,3,3,2412324,,1.94,3.548,1.093,7.061,1350,54,53
ca,3,3,2456772,,1.94,3.548,1.093,7.061,1350,54,53
ca,3,3,2413220,,1.94,3.548,1.093,7.061,1350,54,53
cabal,3,1,2278340,,2.01,3.41,0.98,6.45,,1230,69
cabal,3,1,2246720,,2.01,3.41,0.98,6.45,,1230,69
cabal,3,1,2255856,,2.01,3.41,0.98,6.45,,1230,69
cabal,3,2,2815292,,1.3,3.25,1.02,6.36,,1230,69
cabal,3,2,2836136,,1.3,3.25,1.02,6.36,,1230,69
cabal,3,2,2779960,,1.3,3.25,1.02,6.36,,1230,69
cabal,3,3,2321260,,2,3.3,0.97,6.31,,1230,69
cabal,3,3,2372592,,2,3.3,0.97,6.31,,1230,69
cabal,3,3,2328808,,2,3.3,0.97,6.31,,1230,69
candonga,3,1,3995460,,0.76,4.693,1.134,7.258,,50,135
candonga,3,1,4006444,,0.76,4.693,1.134,7.258,,50,135
candonga,3,1,4003324,,0.76,4.693,1.134,7.258,,50,135
candonga,3,2,4124124,,1.04,4.27,0.906,7.072,,50,135
candonga,3,2,4003976,,1.04,4.27,0.906,7.072,,50,135
candonga,3,2,4010956,,1.04,4.27,0.906,7.072,,50,135
candonga,3,3,2486908,,2.6,4.25,0.892,7.259,,50,135
candonga,3,3,2428492,,2.6,4.25,0.892,7.259,,50,135
candonga,3,3,2404400,,2.6,4.25,0.892,7.259,,50,135
cb,4,1,2155060,,2.07,3.574,1.149,6.786,960,150,101
cb,4,1,2165408,,2.07,3.574,1.149,6.786,960,150,101
cb,4,1,2131256,,2.07,3.574,1.149,6.786,960,150,101
cb,4,2,2285756,,1.88,3.761,1.049,6.314,960,150,101
cb,4,2,2287336,,1.88,3.761,1.049,6.314,960,150,101
cb,4,2,2241160,,1.88,3.761,1.049,6.314,960,150,101
cb,4,3,2076288,,2.14,3.676,1.006,6.494,960,150,101
cb,4,3,2059056,,2.14,3.676,1.006,6.494,960,150,101
cb,4,3,2065812,,2.14,3.676,1.006,6.494,960,150,101
cm,4,1,3893452,,0.64,3.492,0.925,6.127,1170,90,60
cm,4,1,3842488,,0.64,3.492,0.925,6.127,1170,90,60
cm,4,1,3876520,,0.64,3.492,0.925,6.127,1170,90,60
cm,4,2,4383796,,0.6,3.275,0.704,6.375,1170,90,60
cm,4,2,4476344,,0.6,3.275,0.704,6.375,1170,90,60
cm,4,2,4330032,,0.6,3.275,0.704,6.375,1170,90,60
cm,4,3,2748700,,0.75,3.864,0.763,6.245,1170,90,60
cm,4,3,2682760,,0.75,3.864,0.763,6.245,1170,90,60
cm,4,3,2807032,,0.75,3.864,0.763,6.245,1170,90,60
ca,4,1,4424120,,0.78,3.624,0.884,6.752,1350,572,66
ca,4,1,4407748,,0.78,3.624,0.884,6.752,1350,572,66
ca,4,1,4470152,,0.78,3.624,0.884,6.752,1350,572,66
ca,4,2,3168060,,1.82,3.628,0.877,7.073,1350,572,66
ca,4,2,3157092,,1.82,3.628,0.877,7.073,1350,572,66
ca,4,2,3176048,,1.82,3.628,0.877,7.073,1350,572,66
ca,4,3,2982556,,1.86,3.634,0.803,6.888,1350,572,66
ca,4,3,2966848,,1.86,3.634,0.803,6.888,1350,572,66
ca,4,3,3112604,,1.86,3.634,0.803,6.888,1350,572,66
cabal,4,1,3157360,,1.02,3.68,1.164,6.825,,385,63
cabal,4,1,3139668,,1.02,3.68,1.164,6.825,,385,63
cabal,4,1,3127348,,1.02,3.68,1.164,6.825,,385,63
cabal,4,2,2185468,,1.93,3.533,0.948,6.555,,385,63
cabal,4,2,2176432,,1.93,3.533,0.948,6.555,,385,63
cabal,4,2,2193340,,1.93,3.533,0.948,6.555,,385,63
cabal,4,3,2107668,,2.25,3.694,0.936,6.586,,385,63
cabal,4,3,2133992,,2.25,3.694,0.936,6.586,,385,63
cabal,4,3,2132548,,2.25,3.694,0.936,6.586,,385,63
candonga,4,1,3217132,,2.19,4.756,0.937,8.214,,70,95
candonga,4,1,3190428,,2.19,4.756,0.937,8.214,,70,95
candonga,4,1,3238352,,2.19,4.756,0.937,8.214,,70,95
candonga,4,2,3243276,,2.3,5.123,0.857,7.598,,70,95
candonga,4,2,3233596,,2.3,5.123,0.857,7.598,,70,95
candonga,4,2,3271140,,2.3,5.123,0.857,7.598,,70,95
candonga,4,3,3119916,,2.42,4.461,0.882,8.005,,70,95
candonga,4,3,3002520,,2.42,4.461,0.882,8.005,,70,95
candonga,4,3,3164780,,2.42,4.461,0.882,8.005,,70,95
cb,5,1,2649896,,1.65,3.695,1.098,7.185,960,240,84
cb,5,1,2688320,,1.65,3.695,1.098,7.185,960,240,84
cb,5,1,2627440,,1.65,3.695,1.098,7.185,960,240,84
cb,5,2,2788956,,1.56,3.838,1.03,6.535,960,240,84
cb,5,2,2788196,,1.56,3.838,1.03,6.535,960,240,84
cb,5,2,2790300,,1.56,3.838,1.03,6.535,960,240,84
cb,5,3,2768524,,1.77,3.653,1.011,7.055,960,240,84
cb,5,3,2733536,,1.77,3.653,1.011,7.055,960,240,84
cb,5,3,2731212,,1.77,3.653,1.011,7.055,960,240,84
cm,5,1,4167308,,0.7,3.925,0.822,6.501,1170,40,55
cm,5,1,4180172,,0.7,3.925,0.822,6.501,1170,40,55
cm,5,1,4108080,,0.7,3.925,0.822,6.501,1170,40,55
cm,5,2,3968264,,0.39,3.642,0.789,6.787,1170,40,55
cm,5,2,3924752,,0.39,3.642,0.789,6.787,1170,40,55
cm,5,2,3993292,,0.39,3.642,0.789,6.787,1170,40,55
cm,5,3,4139020,,1.03,3.658,0.865,7.013,1170,40,55
cm,5,3,4225604,,1.03,3.658,0.865,7.013,1170,40,55
cm,5,3,4457164,,1.03,3.658,0.865,7.013,1170,40,55
ca,5,1,2627764,,2.38,3.708,0.858,7.468,1350,49,59
ca,5,1,2640888,,2.38,3.708,0.858,7.468,1350,49,59
ca,5,1,2613612,,2.38,3.708,0.858,7.468,1350,49,59
ca,5,2,4279900,,0.86,3.668,1.081,7.634,1350,49,59
ca,5,2,4288584,,0.86,3.668,1.081,7.634,1350,49,59
ca,5,2,4243264,,0.86,3.668,1.081,7.634,1350,49,59
ca,5,3,3550144,,0.99,3.467,1.314,7.429,1350,49,59
ca,5,3,3602320,,0.99,3.467,1.314,7.429,1350,49,59
ca,5,3,3536900,,0.99,3.467,1.314,7.429,1350,49,59
cabal,5,1,3511212,,0.52,4.544,1.002,6.968,,1680,92
cabal,5,1,3405040,,0.52,4.544,1.002,6.968,,1680,92
cabal,5,1,3453360,,0.52,4.544,1.002,6.968,,1680,92
cabal,5,2,2302432,,2.52,4.55,0.893,6.535,,1680,92
cabal,5,2,2293332,,2.52,4.55,0.893,6.535,,1680,92
cabal,5,2,2303560,,2.52,4.55,0.893,6.535,,1680,92
cabal,5,3,2229884,,2.18,4.287,0.824,6.174,,1680,92
cabal,5,3,2213468,,2.18,4.287,0.824,6.174,,1680,92
cabal,5,3,2194576,,2.18,4.287,0.824,6.174,,1680,92
candonga,5,1,2169620,,2.65,4.529,0.997,8.332,,50,110
candonga,5,1,2182832,,2.65,4.529,0.997,8.332,,50,110
candonga,5,1,2191640,,2.65,4.529,0.997,8.332,,50,110
candonga,5,2,2403752,,2.82,4.529,1.05,7.908,,50,110
candonga,5,2,2394452,,2.82,4.529,1.05,7.908,,50,110
candonga,5,2,2369064,,2.82,4.529,1.05,7.908,,50,110
candonga,5,3,2481524,,2.76,4.439,1.05,8.116,,50,110
candonga,5,3,2517660,,2.76,4.439,1.05,8.116,,50,110
candonga,5,3,2495748,,2.76,4.439,1.05,8.116,,50,110
cb,6,1,2277896,,2.95,4.781,1.092,8.177,960,160,95
cb,6,1,2201404,,2.95,4.781,1.092,8.177,960,160,95
cb,6,1,2191416,,2.95,4.781,1.092,8.177,960,160,95
cb,6,2,2911308,,1.88,4.755,1.227,7.819,960,160,95
cb,6,2,2905112,,1.88,4.755,1.227,7.819,960,160,95
cb,6,2,2950020,,1.88,4.755,1.227,7.819,960,160,95
cb,6,3,2961048,,1.91,4.539,0.999,8.691,960,160,95
cb,6,3,2937776,,1.91,4.539,0.999,8.691,960,160,95
cb,6,3,2985456,,1.91,4.539,0.999,8.691,960,160,95
cm,6,1,3894468,,0.71,3.949,1.037,7.163,1170,45,57
cm,6,1,3936088,,0.71,3.949,1.037,7.163,1170,45,57
cm,6,1,3816164,,0.71,3.949,1.037,7.163,1170,45,57
cm,6,2,3901188,,0.88,3.247,1.036,8.006,1170,45,57
cm,6,2,3918692,,0.88,3.247,1.036,8.006,1170,45,57
cm,6,2,3988904,,0.88,3.247,1.036,8.006,1170,45,57
cm,6,3,2387184,,2.6,3.638,0.933,6.325,1170,45,57
cm,6,3,2432516,,2.6,3.638,0.933,6.325,1170,45,57
cm,6,3,2421768,,2.6,3.638,0.933,6.325,1170,45,57
ca,6,1,3169684,,1.68,4.226,0.917,8.777,1350,84,72
ca,6,1,3159320,,1.68,4.226,0.917,8.777,1350,84,72
ca,6,1,3219128,,1.68,4.226,0.917,8.777,1350,84,72
ca,6,2,2992528,,1.8,3.487,1.005,7.649,1350,84,72
ca,6,2,3043192,,1.8,3.487,1.005,7.649,1350,84,72
ca,6,2,3037716,,1.8,3.487,1.005,7.649,1350,84,72
ca,6,3,3543184,,1.66,3.72,0.983,7.952,1350,84,72
ca,6,3,3447104,,1.66,3.72,0.983,7.952,1350,84,72
ca,6,3,3469772,,1.66,3.72,0.983,7.952,1350,84,72
cabal,6,1,2211852,,1.83,3.93,0.83,7.09,,225,63
cabal,6,1,2139388,,1.83,3.93,0.83,7.09,,225,63
cabal,6,1,2137508,,1.83,3.93,0.83,7.09,,225,63
cabal,6,2,2109388,,2.07,3.79,0.88,6.22,,225,63
cabal,6,2,2096220,,2.07,3.79,0.88,6.22,,225,63
cabal,6,2,2104812,,2.07,3.79,0.88,6.22,,225,63
cabal,6,3,2610052,,1.67,3.93,0.87,6.74,,225,63
cabal,6,3,2610052,,1.67,3.93,0.87,6.74,,225,63
cabal,6,3,2575492,,1.67,3.93,0.87,6.74,,225,63
candonga,6,1,2417224,,2.46,4.345,1.049,8.54,,20,105
candonga,6,1,2371780,,2.46,4.345,1.049,8.54,,20,105
candonga,6,1,2378016,,2.46,4.345,1.049,8.54,,20,105
candonga,6,2,2400620,,1.94,4.163,0.955,7.919,,20,105
candonga,6,2,2447832,,1.94,4.163,0.955,7.919,,20,105
candonga,6,2,2446128,,1.94,4.163,0.955,7.919,,20,105
candonga,6,3,2455276,,2.32,4.252,1.202,8.434,,20,105
